Complex Name,Address,Arena,Community Centre,Indoor Pool,Indoor Soccer,Library,Outdoor Pool,Fitness Leisure Centre,Skate Park,Spray Pad,Wading Pool,Location 1,Geometry
King Edward - Ness Park,334 King Edward St,false,false,false,false,false,false,false,false,false,true,"(49.884166042298546, -97.20899582855994)","MULTIPOLYGON (((-97.209194576312 49.884448460234, -97.209243624193 49.883900495682, -97.208797428434 49.883883624364, -97.208748032927 49.884432006142, -97.209194576312 49.884448460234)))"
Southdale C.C,254 Lakewood Blvd,true,true,false,false,false,false,false,false,false,true,"(49.84568490305534, -97.07745451707848)","MULTIPOLYGON (((-97.079484832447 49.84720082438, -97.07845586089 49.845192842612, -97.077622334883 49.843566136687, -97.077168855373 49.843635551967, -97.075477991966 49.843997519519, -97.07542420171 49.844066757727, -97.076243618664 49.845666333796, -97.076665740055 49.846490311879, -97.07773784744 49.846260701308, -97.077972048274 49.846717952786, -97.078119081211 49.846686461707, -97.078397506669 49.847230041657, -97.078250473635 49.847261533092, -97.078093310851 49.847295193279, -97.078353764805 49.847803669424, -97.078510936419 49.847770034212, -97.079249153109 49.847612048391, -97.079082642912 49.847286961099, -97.079484832447 49.84720082438)))"
Sir William Stephenson Library,765 Keewatin St,false,false,false,false,true,false,false,false,false,false,"(49.93636516920018, -97.1939172581331)","MULTIPOLYGON (((-97.192976967743 49.936710456106, -97.194597160507 49.936710765835, -97.194857548523 49.936542615637, -97.19485733595 49.936019572565, -97.192990550983 49.936019614038, -97.192990661783 49.93655551262, -97.192990280192 49.936581408291, -97.192989140461 49.936607281683, -97.192987243567 49.936633110605, -97.192984577397 49.936658989504, -97.192981151134 49.936684778778, -97.192976967743 49.936710456106)))"
Boyd Park,1100 College Ave,false,false,false,false,false,false,false,false,false,true,"(49.92918264077035, -97.16410110283113)","MULTIPOLYGON (((-97.165238934534 49.929245669697, -97.164069980252 49.928868955691, -97.163339793531 49.928633632563, -97.162963271128 49.929119558272, -97.163696505566 49.929355885538, -97.164522021089 49.92962194746, -97.16486240204 49.929731648978, -97.165238934534 49.929245669697)))"
John Shaley Tot Lot / Sinclair Park C.C,490 Sinclair St,false,true,false,false,false,false,false,false,false,false,"(49.93056838290051, -97.15078659845418)","MULTIPOLYGON (((-97.151059095956 49.931895509029, -97.151556315634 49.931585786408, -97.152323396911 49.931108402936, -97.152982170324 49.930700034261, -97.153110703012 49.930533129422, -97.149090060744 49.929241256772, -97.148462493897 49.930053609373, -97.150937496082 49.930848925946, -97.150315453735 49.93165685107, -97.151059095956 49.931895509029)))"
John M King Wading Pool,525 Agnes St,false,false,false,false,false,false,false,false,false,true,"(49.893990876889156, -97.16134938024295)","MULTIPOLYGON (((-97.161320578523 49.894871150431, -97.161735691975 49.894883867717, -97.161743368474 49.894775075285, -97.16175104629 49.894666283771, -97.161758724065 49.894557492254, -97.161766400441 49.894448699813, -97.161774078133 49.89433990829, -97.161781754393 49.894231116743, -97.161789432037 49.894122324315, -97.161797108215 49.894013532762, -97.161804785743 49.893904741228, -97.16181246323 49.893795949691, -97.161820139318 49.89368715723, -97.161827816722 49.893578365688, -97.161835492694 49.89346957412, -97.161859802575 49.893125064219, -97.161747579269 49.893121667332, -97.161635355982 49.893118270336, -97.161523132713 49.893114873232, -97.161410909463 49.893111476019, -97.161298686232 49.893108078698, -97.16118646302 49.893104681268, -97.161074239826 49.89310128373, -97.160962015259 49.893097886061, -97.160937660098 49.893442320428, -97.160929969053 49.893551089219, -97.160922277933 49.893659858906, -97.160914586806 49.893768627691, -97.160906895604 49.893877397373, -97.160899204394 49.893986166153, -97.160891513109 49.894094935828, -97.160883821818 49.894203704602, -97.160876130451 49.894312474273, -97.160868439076 49.894421243041, -97.160860746235 49.894530012683, -97.160853054779 49.894638781446, -97.160845363247 49.894747551105, -97.160838957911 49.894838128089, -97.161254068763 49.894850866851, -97.161287966858 49.894851907362, -97.161321864988 49.894852946964, -97.161320578523 49.894871150431)))"
Pioneer Arena Grounds,799 Logan Ave,true,false,false,false,false,false,false,false,false,false,"(49.910102733903635, -97.15717036167788)","MULTIPOLYGON (((-97.156651903094 49.909349490632, -97.156444886388 49.909618584018, -97.156341377142 49.909753131007, -97.156237867347 49.909887676995, -97.156134356934 49.910022223781, -97.156030845971 49.910156769565, -97.15592733439 49.910291316147, -97.156305167975 49.910412437078, -97.156683004871 49.910533556819, -97.156933912387 49.910613987149, -97.157311369907 49.910734982756, -97.157688830733 49.910855977175, -97.157792339824 49.910721436205, -97.157895849689 49.910586896054, -97.157999359004 49.910452354903, -97.158102866309 49.910317814526, -97.158206374456 49.910183273171, -97.158413388966 49.909914191053, -97.158224663838 49.909853694342, -97.158035939188 49.909793197328, -97.157847215052 49.909732699112, -97.157658491359 49.909672201494, -97.157407593282 49.909591765657, -97.157218670007 49.90953119758, -97.156944789617 49.909443391767, -97.156727931597 49.909373866051, -97.156651903094 49.909349490632)))"
Broadway Neighborhood Centre,185 Young St,false,false,false,false,false,false,false,false,false,true,"(49.88406470315662, -97.15549917865751)","MULTIPOLYGON (((-97.15546393537 49.883880237743, -97.155520741709 49.882908050045, -97.155080451013 49.882899053571, -97.154966906804 49.885214940367, -97.155384192986 49.885230352742, -97.155400650985 49.884956516148, -97.15560431435 49.884963995531, -97.155983016312 49.884977902117, -97.155993994335 49.884797176584, -97.155977057638 49.884796554204, -97.155980384861 49.884741790023, -97.155988149126 49.884613122797, -97.155994847901 49.884503602387, -97.156001550063 49.884393992097, -97.156014832704 49.884174949438, -97.156021416609 49.884065427192, -97.156028115198 49.883955906768, -97.156031450511 49.883901148842, -97.15546393537 49.883880237743)))"
Braeside Park,595 Louelda St,false,false,false,false,false,false,false,false,false,true,"(49.910424933837206, -97.0704858841757)","MULTIPOLYGON (((-97.072196025757 49.910462388905, -97.070564792556 49.909918695394, -97.070283923165 49.909825078153, -97.069955833548 49.909800482039, -97.068843932921 49.909980264648, -97.068775742594 49.910065677367, -97.069152913731 49.910191395532, -97.069718835066 49.910380022219, -97.070095851714 49.91050568434, -97.071727163106 49.911049385635, -97.072196025757 49.910462388905)))"
Glenwood C.C,27 Overton St,true,true,false,false,false,false,false,false,false,false,"(49.86606615370849, -97.10735179887556)","MULTIPOLYGON (((-97.108754857204 49.865357719, -97.108660570058 49.86538900703, -97.108566284184 49.865420295005, -97.108471996763 49.865451583777, -97.108377709257 49.865482871572, -97.10828342163 49.865514159289, -97.108189133884 49.865545446928, -97.108094846017 49.865576734488, -97.10800055803 49.86560802197, -97.107906271313 49.865639309397, -97.107811983085 49.865670596722, -97.107717694702 49.865701884868, -97.107623406234 49.865733172037, -97.107529117645 49.865764459128, -97.107434828936 49.86579574614, -97.107340541498 49.865827033096, -97.107246252548 49.865858319952, -97.107199107333 49.865873963339, -97.107151963479 49.86588960673, -97.107057674289 49.865920893429, -97.106963384978 49.865952180049, -97.106869095513 49.865983467491, -97.106774805962 49.866014753955, -97.106680517682 49.866046040364, -97.10658622789 49.866077326671, -97.106491937978 49.866108612901, -97.106397647947 49.866139899052, -97.106303357794 49.866171185124, -97.106209067522 49.866202471119, -97.106114778485 49.866233757957, -97.106020487972 49.866265043795, -97.105926197338 49.866296329554, -97.105831906585 49.866327615235, -97.105737615711 49.866358900838, -97.105643324716 49.866390186363, -97.105749672979 49.866524310696, -97.105947933271 49.866774588417, -97.106042248754 49.866743295848, -97.106136564083 49.866712004099, -97.1062308779 49.866680712249, -97.106325193022 49.866649419445, -97.106419507989 49.866618127461, -97.106513822871 49.8665868345, -97.106608137598 49.86655554236, -97.106702452204 49.866524250141, -97.106796766725 49.866492956946, -97.10689108109 49.86646166457, -97.10698539398 49.866430371195, -97.107079708104 49.866399078663, -97.107174022109 49.866367786053, -97.107268336028 49.866336492465, -97.107362649792 49.866305199698, -97.10745696347 49.866273905954, -97.107551276993 49.86624261303, -97.107645589005 49.866211320005, -97.107739902323 49.866180026026, -97.107834215485 49.866148732867, -97.107928528562 49.866117438731, -97.108022841483 49.866086145416, -97.108117154284 49.866054852022, -97.108211467 49.866023557652, -97.108305778169 49.865992264079, -97.108400090645 49.865960969551, -97.108494402964 49.865929675844, -97.108588715164 49.865898382059, -97.108683027278 49.865867087296, -97.108777339236 49.865835793354, -97.10887165111 49.865804498435, -97.108965961437 49.865773204313, -97.109060273035 49.865741910136, -97.108861440627 49.865491793933, -97.108754857204 49.865357719)))"
Winakwa C.C,980 Winakwa Rd,false,true,false,false,false,true,false,false,false,true,"(49.86293034228301, -97.07404414942984)","MULTIPOLYGON (((-97.075686045859 49.862225578554, -97.073081219098 49.862228018178, -97.072400387227 49.862228646178, -97.072400837823 49.862419918435, -97.072402659911 49.863193535924, -97.073038656321 49.863193151395, -97.073039702923 49.863635106012, -97.075032021965 49.863633879053, -97.075099850167 49.86363383627, -97.075098858197 49.863206342018, -97.075098768952 49.863167977248, -97.075603243118 49.863167676527, -97.075687911632 49.863112810726, -97.075686045859 49.862225578554)))"
King George Park,5 Des Meurons St,false,false,false,false,false,true,false,false,false,true,"(49.85833744891003, -97.10077037767684)","MULTIPOLYGON (((-97.10177491057 49.857313872936, -97.09891832984 49.858269120724, -97.099784984711 49.859361024884, -97.100033505029 49.859277961173, -97.102622425514 49.858412606904, -97.10177491057 49.857313872936)))"
